previous_time,current_time,nrc,delta_enrolled
2024-01-09 14.20.00,2024-01-09 14.21.15,40034,1
2024-01-09 14.20.00,2024-01-09 14.21.15,66980,-1
2024-01-09 14.20.00,2024-01-09 14.21.15,13746,1
2024-01-09 14.20.00,2024-01-09 14.21.15,55026,-1
2024-01-09 14.20.00,2024-01-09 14.21.15,65784,1
2024-01-09 14.20.00,2024-01-09 14.21.15,52202,1
2024-01-09 14.20.00,2024-01-09 14.21.15,52231,1
2024-01-09 14.20.00,2024-01-09 14.21.15,67174,1
2024-01-09 14.20.00,2024-01-09 14.21.15,10911,-1
2024-01-09 14.20.00,2024-01-09 14.21.15,18517,1
2024-01-09 14.20.00,2024-01-09 14.21.15,55356,-1
2024-01-09 14.20.00,2024-01-09 14.21.15,55357,1
2024-01-09 14.20.00,2024-01-09 14.21.15,39333,-1
2024-01-09 14.20.00,2024-01-09 14.21.15,52341,1
2024-01-09 14.20.00,2024-01-09 14.21.15,36789,1
2024-01-09 14.20.00,2024-01-09 14.21.15,69239,1
2024-01-09 14.20.00,2024-01-09 14.21.15,24353,1
2024-01-09 14.20.00,2024-01-09 14.21.15,11227,-1
2024-01-09 14.20.00,2024-01-09 14.21.15,38959,1
2024-01-09 14.20.00,2024-01-09 14.21.15,11680,-1
2024-01-09 14.20.00,2024-01-09 14.21.15,30464,1
2024-01-09 14.20.00,2024-01-09 14.21.15,51920,1
2024-01-09 14.20.00,2024-01-09 14.21.15,69471,1
2024-01-09 14.20.00,2024-01-09 14.21.15,62702,1
2024-01-09 14.20.00,2024-01-09 14.21.15,63127,1
2024-01-09 14.20.00,2024-01-09 14.21.15,57606,-1
2024-01-09 14.20.00,2024-01-09 14.21.15,40094,1
2024-01-09 14.20.00,2024-01-09 14.21.15,65164,1
2024-01-09 14.20.00,2024-01-09 14.21.15,68070,1
2024-01-09 14.20.00,2024-01-09 14.21.15,10020,1
2024-01-09 14.20.00,2024-01-09 14.21.15,10021,1
2024-01-09 14.20.00,2024-01-09 14.21.15,69181,-1
2024-01-09 14.20.00,2024-01-09 14.21.15,69182,1
2024-01-09 14.20.00,2024-01-09 14.21.15,65684,7
2024-01-09 14.20.00,2024-01-09 14.21.15,69454,-7
2024-01-09 14.24.58,2024-01-09 14.26.14,25473,1
2024-01-09 14.24.58,2024-01-09 14.26.14,40034,-1
2024-01-09 14.24.58,2024-01-09 14.26.14,52202,-1
2024-01-09 14.24.58,2024-01-09 14.26.14,52204,1
2024-01-09 14.24.58,2024-01-09 14.26.14,52655,1
2024-01-09 14.24.58,2024-01-09 14.26.14,66781,1
2024-01-09 14.24.58,2024-01-09 14.26.14,70169,1
2024-01-09 14.24.58,2024-01-09 14.26.14,58494,1
2024-01-09 14.24.58,2024-01-09 14.26.14,58492,1
2024-01-09 14.24.58,2024-01-09 14.26.14,52282,1
2024-01-09 14.24.58,2024-01-09 14.26.14,44956,1
2024-01-09 14.24.58,2024-01-09 14.26.14,64300,1
2024-01-09 14.24.58,2024-01-09 14.26.14,57214,1
2024-01-09 14.24.58,2024-01-09 14.26.14,68743,1
2024-01-09 14.24.58,2024-01-09 14.26.14,64344,-1
2024-01-09 14.24.58,2024-01-09 14.26.14,67228,1
2024-01-09 14.24.58,2024-01-09 14.26.14,69469,1
2024-01-09 14.24.58,2024-01-09 14.26.14,63058,1
2024-01-09 14.24.58,2024-01-09 14.26.14,49759,1
2024-01-09 14.24.58,2024-01-09 14.26.14,10084,1
2024-01-09 14.24.58,2024-01-09 14.26.14,10094,1
2024-01-09 14.24.58,2024-01-09 14.26.14,69484,1
2024-01-09 14.24.58,2024-01-09 14.26.14,69271,1
2024-01-09 14.24.58,2024-01-09 14.26.14,69250,1
2024-01-09 14.24.58,2024-01-09 14.26.14,10597,1
2024-01-09 14.24.58,2024-01-09 14.26.14,58347,1
2024-01-09 14.24.58,2024-01-09 14.26.14,63871,-1
2024-01-09 14.24.58,2024-01-09 14.26.14,52341,-1
2024-01-09 14.24.58,2024-01-09 14.26.14,39981,-1
2024-01-09 14.24.58,2024-01-09 14.26.14,39986,1
2024-01-09 14.24.58,2024-01-09 14.26.14,31316,1
2024-01-09 14.24.58,2024-01-09 14.26.14,55595,1
2024-01-09 14.24.58,2024-01-09 14.26.14,67896,1
2024-01-09 14.24.58,2024-01-09 14.26.14,51386,1
2024-01-09 14.24.58,2024-01-09 14.26.14,34829,1
2024-01-09 14.24.58,2024-01-09 14.26.14,66239,1
2024-01-09 14.24.58,2024-01-09 14.26.14,67994,-1
2024-01-09 14.24.58,2024-01-09 14.26.14,69184,-1
2024-01-09 14.24.58,2024-01-09 14.26.14,68070,1
2024-01-09 14.24.58,2024-01-09 14.26.14,68072,-1
2024-01-09 14.24.58,2024-01-09 14.26.14,69181,1
2024-01-09 14.24.58,2024-01-09 14.26.14,66601,1
2024-01-09 14.24.58,2024-01-09 14.26.14,65684,10
2024-01-09 14.24.58,2024-01-09 14.26.14,69454,-10
2024-01-09 14.29.56,2024-01-09 14.31.10,11411,1
2024-01-09 14.29.56,2024-01-09 14.31.10,64012,1
2024-01-09 14.29.56,2024-01-09 14.31.10,12118,1
2024-01-09 14.29.56,2024-01-09 14.31.10,28783,1
2024-01-09 14.29.56,2024-01-09 14.31.10,11014,1
2024-01-09 14.29.56,2024-01-09 14.31.10,55206,1
2024-01-09 14.29.56,2024-01-09 14.31.10,23026,2
2024-01-09 14.29.56,2024-01-09 14.31.10,11216,3
2024-01-09 14.29.56,2024-01-09 14.31.10,39787,1
2024-01-09 14.29.56,2024-01-09 14.31.10,51766,2
2024-01-09 14.29.56,2024-01-09 14.31.10,31092,1
2024-01-09 14.29.56,2024-01-09 14.31.10,66705,3
2024-01-09 14.29.56,2024-01-09 14.31.10,10180,1
2024-01-09 14.29.56,2024-01-09 14.31.10,20826,1
2024-01-09 14.29.56,2024-01-09 14.31.10,20827,1
2024-01-09 14.29.56,2024-01-09 14.31.10,31010,1
2024-01-09 14.29.56,2024-01-09 14.31.10,20858,1
2024-01-09 14.29.56,2024-01-09 14.31.10,46138,1
2024-01-09 14.29.56,2024-01-09 14.31.10,65775,3
2024-01-09 14.29.56,2024-01-09 14.31.10,39165,5
2024-01-09 14.29.56,2024-01-09 14.31.10,39166,1
2024-01-09 14.29.56,2024-01-09 14.31.10,39167,1
2024-01-09 14.29.56,2024-01-09 14.31.10,65767,2
2024-01-09 14.29.56,2024-01-09 14.31.10,64019,1
2024-01-09 14.29.56,2024-01-09 14.31.10,14951,2
2024-01-09 14.29.56,2024-01-09 14.31.10,52521,1
2024-01-09 14.29.56,2024-01-09 14.31.10,39176,1
2024-01-09 14.29.56,2024-01-09 14.31.10,39175,1
2024-01-09 14.29.56,2024-01-09 14.31.10,39177,3
2024-01-09 14.29.56,2024-01-09 14.31.10,39174,3
2024-01-09 14.29.56,2024-01-09 14.31.10,33363,1
2024-01-09 14.29.56,2024-01-09 14.31.10,33362,1
2024-01-09 14.29.56,2024-01-09 14.31.10,66728,6
2024-01-09 14.29.56,2024-01-09 14.31.10,11998,1
2024-01-09 14.29.56,2024-01-09 14.31.10,58984,2
2024-01-09 14.29.56,2024-01-09 14.31.10,67040,1
2024-01-09 14.29.56,2024-01-09 14.31.10,43233,1
2024-01-09 14.29.56,2024-01-09 14.31.10,10147,2
2024-01-09 14.29.56,2024-01-09 14.31.10,10148,2
2024-01-09 14.29.56,2024-01-09 14.31.10,66706,1
2024-01-09 14.29.56,2024-01-09 14.31.10,58396,3
2024-01-09 14.29.56,2024-01-09 14.31.10,10407,1
2024-01-09 14.29.56,2024-01-09 14.31.10,23065,1
2024-01-09 14.29.56,2024-01-09 14.31.10,11132,1
2024-01-09 14.29.56,2024-01-09 14.31.10,10150,3
2024-01-09 14.29.56,2024-01-09 14.31.10,58030,1
2024-01-09 14.29.56,2024-01-09 14.31.10,31957,1
2024-01-09 14.29.56,2024-01-09 14.31.10,48421,1
2024-01-09 14.29.56,2024-01-09 14.31.10,39763,1
2024-01-09 14.29.56,2024-01-09 14.31.10,58504,1
2024-01-09 14.29.56,2024-01-09 14.31.10,55689,1
2024-01-09 14.29.56,2024-01-09 14.31.10,63333,2
